"ASV_hash","Station_11","Station_117","Station_125","Station_135","Station_145","Station_162","Station_193","Station_199","Station_32","Station_45","Station_91"
"18b3c5f3bba05cb3c760fa19af13b3e7",35,0,0,0,0,0,0,0,0,0,0
"18d40d1f740b715bc06249d92d967e27",33,0,0,0,0,0,0,0,15,0,0
"19d845ce2b2e5c7bdf62aef1fcca21b9",246,0,0,0,0,0,0,0,0,0,0
"1a77519dbebe95aba7893582052a07e4",45,0,0,0,0,0,0,0,0,0,0
"1c2db6bdf83c503d1c7a4f2ff92c2e5c",25,0,0,0,0,0,0,0,1101,1384,44
"1ce3b5c6d85ce967f8677e23e3e9b0be",302,4876,7039,7500,9177,8022,17053,6094,2855,7269,5857
"1dff8407f5d587abcd512caefe8dd956",41,0,0,0,0,0,0,0,0,0,0
"1e521807d6c218b238b59762497309fb",28,0,0,0,0,0,0,0,0,0,0
"1ed3adfd26366f6cb4b24a933c28886a",29,0,0,0,0,0,0,0,0,0,0
"1ef72a7827ffc8ca8d5c73eaeffce578",11,0,0,0,0,0,0,0,0,0,0
"1f0c6e60b6c31762688bebab65b81986",26,0,0,0,0,0,0,0,45,0,0
"209a86b537c8681cff1e099f20d6a13e",15,0,0,0,0,0,0,0,0,0,0
"20c13ec448e4c4532fa01bed25ca4a4f",295,0,0,0,0,0,0,0,1486,0,0
"221d14b7cea8f20d54c1edeb2515fb02",32,0,0,0,0,0,0,0,759,112,0
"228d3cf948f0b224d6caaedd5e9ddbf1",46,0,0,0,0,0,0,0,0,0,0
"234e32785256a6771ae89b58316938a1",53,0,0,0,0,0,0,0,543,238,0
"23872c8204530139414812eb38cd8e26",6,0,0,0,0,0,0,0,0,0,0
"24e35dc7376c08954c121bd530382ebc",517,0,0,0,0,0,0,0,63,0,0
"2569fc58a228d0f281874635cc9955e1",288,0,0,0,0,0,0,0,1718,740,0
"2783a1c99aa920f4160bb089fd2d7bd8",26,0,0,0,0,0,0,0,0,0,0
"287ae49e4d897d5e20460a24f07295f5",19,0,0,0,0,0,0,0,3,0,0
"29e147348364f25451b2729361ae568f",15,0,0,0,0,0,0,0,482,210,0
"2a28739b3218cdd4c006bd5c39ceb124",113,0,0,0,0,0,0,0,585,60,0
"2a8ffe30d56bb83c84f03a46eeef705f",208,0,0,0,0,0,0,0,128,4,0
"2ae21143ed052a0c2be44705f04772ac",607,0,0,0,0,0,0,0,0,0,0
"2b311c287a652233869e325167dec4ea",26,0,0,0,0,0,0,0,0,0,0
"2b7cd9574edda19cbe5973a4428db74b",311,0,0,0,0,0,0,0,113,93,0
"2becf485a8c2e2a2db4fac93ae975869",18,0,0,0,0,0,0,0,32,95,0
"2c260b61ec8474a63726c5f80c301ec1",45,0,0,0,0,0,0,0,0,0,0
"2c3925f6a95930e52adfb80475d6a4e7",232,0,0,0,0,0,0,0,0,0,0
"2c8e0b8eb75c7455fe9f2af250f2c63e",27043,0,0,0,0,0,0,0,14,0,0
"2d07996e9e5d7b7a26178c38ef134462",1133,0,0,0,0,0,0,0,0,0,0
"2d18edd3f54161977155d56e32b1025d",3,0,0,0,0,0,0,0,0,0,0
