"ASV_hash","Station_47"
"79bcdf159239c3f0bcd34e574c112480",3
"79c06013efa07fc3de0c8960015182bd",23
"7a1011dfbc8b253cb0032a00e74454e9",423
"7a42de6f7a028a52b4ebf38e23483d85",14
"7a5075d991cc7d90b35db05cef59e5a0",52
"7a799205da253c4ea4d0fd54f05674a2",17
"7a7f649d8e4128447ac86e3e9afcb944",2
"7ad53600340527237173a1a2043303e5",8
"7ad60e677624ea28ffdf096d29c52e5e",593
"7b731c782416a790f6d0b1b86d46aa5f",89
"7b74bf428931286ad601ed529a7c19ae",339
"7b9a90d213d4e72e912d87103446cbb8",7
"7bd6130d5b6c34d6e1d44198b3472509",2
"7c47c9aaa4b6aa3d056c083ee7fba641",45
"7c6caf692f6158fa656244f9d6ec015f",2
"7d252938dc9274396c45a06fbe7121a4",286
"7d2fd800c809a0a1e93aa996f1ba0fe5",7
"7d376cdbb8bcd3697ef75cde87a5b39c",292
"7dbbcb451e4d06dd3ab9829bc2fc1a9d",1
"7dbbd5e628a910e8ce575fedd9d0eff7",38
"7dc08afa996e4913a41f06ab8303cb52",50
"7dc0d4a782bdf7402d2e82f1b23efddb",95
"7decc2bdac57aa1d0cb6f31abb8a91e8",8
"7e0b87b5438c550510ead003e6f82447",19
"7e0ee7feeb6adb72c8d2a7d5591f6469",7
"7e1c66a754a410c3df53949ee198d45f",202
"7e3f0611bbceaab2351b5a9297e56dc3",12
"7e7b8df8f7d5ae8860fe077398e75a89",19
"7e9d6a44d76c66268248c175e36f0db0",181
"7ef6803b3ce789ff4c7b1840c2e5c849",12
"7f84a8d17b4e6029500ffaeb7d3f5b3c",42
"7f93dede533707fdd12b0551021f1ed1",2
"7f95662d9e03798cca8549f1fcfb6b69",52
"7fa195248fab451abeb51eddf202bece",58
