"ASV_hash","Station_1","Station_10","Station_11","Station_12","Station_14","Station_16","Station_17","Station_18","Station_2","Station_23","Station_3","Station_33","Station_35","Station_4","Station_5","Station_6","Station_7","Station_8","Station_9"
"296e4c020a0cd8d52aa1447eaad740aa",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b9a85186212719f0826a7833afb41a6",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2cb7d97103d34bccbd2cabe788097f90",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2dfbe8b4e1f10ab108190246d190a084",75,0,15,0,0,0,0,0,22,0,0,0,0,35,0,0,0,0,0
"308abe8d45bccd8f4322d456e192bfe6",153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30a6c4b3119db2c38e80cd632cd5bba5",28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0
"3151f28904fd661f293345eae6d1fed5",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31709536ca2061ab07ecba825d9dff6e",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328ad8c08ec82314cf109ae4d647b456",43,0,0,27,0,48,0,0,0,0,0,0,0,100,30,55,0,0,0
"341182ada277e2cfd89f07f23b0a84cd",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35228c3f69233a6b6acdecc0cbabf470",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353edbd8dfd46eb8b7266f83b5bd37d0",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357ae8f9c76907428a7ea58d7abaed95",13,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,6
"37b7ddb8d679da8cb7be126cc1863299",6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3841d6a92d711f1201b77b0eed6718ad",2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"38cc1e7622df1baef9eca7f09dd3e875",104,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0
"398bc4bed58b1799b573fe03a554862a",43,19,26,0,51,41,0,78,0,0,0,0,0,112,0,79,47,0,0
"3b5b8e8a3cbaa5e23e35b588dc2af880",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3bed6b022971a96d2e9db78e9dca9967",7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3c8f5d73855c9d43f869bf2fd8a0b8ee",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fa6d57979f6af6e75607e64037d5038",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
